tid	Pop	Blues	Latin	Reggae	Folk, World, & Country	Jazz	Classical	Electronic	Hip Hop	Rock	Funk / Soul	Brass & Military	av_cluster_0	av_cluster_1	av_cluster_2	chunk_id
1320855	True	False	False	False	False	False	False	False	False	False	False	False	False	True	True	0
1177758	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	0
1036044	False	False	False	False	False	False	False	False	True	False	True	False	True	False	True	0
276551	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	0
1080999	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	0
1160221	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	0
1156579	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	0
82422	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	0
1046358	False	False	False	False	False	False	False	False	True	False	False	False	True	True	False	0
496533	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	0
1036382	False	False	False	False	True	False	False	False	False	False	False	False	False	True	False	0
1101123	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	0
1169996	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	0
1244739	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	0
1326947	False	False	False	True	False	False	False	False	False	False	False	False	False	True	False	0
1119169	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	0
475676	False	False	False	False	False	False	True	False	False	False	False	False	True	True	False	0
973497	False	True	False	False	False	False	False	False	False	False	False	False	True	True	False	0
644172	False	False	False	False	False	False	False	True	False	True	False	False	False	True	True	0
396915	False	False	False	False	False	False	False	False	False	False	True	False	False	True	True	0
1299627	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	0
241004	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	0
1287169	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	0
1078404	False	False	True	True	False	False	False	False	False	False	False	False	True	False	True	0
1128045	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	0
1310779	False	False	False	False	True	False	False	False	False	False	False	False	False	True	False	0
1273976	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	0
1076600	False	False	False	False	False	False	False	False	True	False	False	False	True	True	True	0
1271864	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	0
768433	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	0
1406626	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	0
391307	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	0
11314	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	0
1292797	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	0
1071434	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	0
21639	False	False	False	False	True	True	False	False	False	False	False	False	True	True	True	0
93564	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	0
1357005	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	0
461562	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	0
250001	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	0
1160050	False	False	False	False	False	False	False	False	False	True	False	False	True	False	True	0
1218815	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	0
194909	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	0
1322957	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	0
14300	False	False	False	False	True	True	False	False	False	False	False	False	True	False	True	0
1095021	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	0
1195702	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	0
1205052	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	0
1399902	False	False	True	False	False	False	False	False	False	False	False	False	True	False	True	0
243128	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	0
194487	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	0
847262	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	0
1251905	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	0
506000	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	0
224737	False	False	True	False	False	False	False	False	False	False	False	False	True	False	True	0
1009700	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	0
1328088	False	False	True	False	False	False	False	False	False	True	False	False	True	True	True	0
471959	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	0
1104503	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	0
912858	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	0
594849	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	0
147202	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	0
1121658	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	0
220600	False	False	False	False	False	False	False	False	False	True	False	False	True	True	False	0
1077367	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	0
1265969	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	0
1217823	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	0
898226	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	0
129556	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	0
18072	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	0
1049878	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	0
1117571	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	0
123612	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	0
858720	False	False	True	False	False	False	True	False	False	False	False	False	True	False	True	0
170946	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	0
90435	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	0
339039	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	0
1236513	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	0
