tid	Hip Hop	Reggae	Rock	Brass & Military	Blues	Electronic	Folk, World, & Country	Funk / Soul	Classical	Jazz	Latin	Pop	av_cluster_0	av_cluster_1	av_cluster_2	chunk_id
1208616	False	False	False	False	False	False	False	False	False	True	False	False	True	False	True	0
443368	True	False	False	False	False	True	False	False	False	False	False	False	False	True	True	0
742095	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	0
1079280	True	False	False	False	False	False	False	False	False	False	False	False	True	True	False	0
964536	False	False	True	False	False	False	True	False	False	False	False	False	False	False	True	0
1117220	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	0
23821	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	0
1393400	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	0
1110674	False	False	True	False	False	False	False	False	False	False	False	True	True	True	True	0
1076278	True	True	False	False	False	False	False	False	False	False	False	False	False	True	False	0
501671	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	0
1344715	False	False	False	False	False	False	False	False	False	True	False	True	True	False	False	0
414103	False	True	False	False	False	False	False	False	False	False	False	False	True	True	True	0
1297168	False	False	False	True	False	False	False	False	False	False	False	False	True	False	False	0
1308616	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	0
565788	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	0
1326948	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	0
786935	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	0
1309356	False	False	False	False	False	False	False	False	False	True	False	False	False	True	True	0
393973	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	0
1372382	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	0
1155014	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	0
1316331	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	0
153054	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	0
1311308	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	0
